scenario,year,group,n_children_weighted,median_nominal_sub,mean_nominal_sub,median_real2026_sub,mean_real2026_sub,median_nominal_subcdctc,mean_nominal_subcdctc,median_real2026_subcdctc,mean_real2026_subcdctc
arpa_cdctc,2042,all_paid_formal,3528533.0,13766.0,16028.0,9590.0,11166.0,11020.0,13534.0,7677.0,9428.0
arpa_cdctc,2042,Low-Priced Center-Based,1544017.0,11952.0,11036.0,8326.0,7688.0,8196.0,8476.0,5710.0,5905.0
arpa_cdctc,2042,High-Priced Center-Based,1077553.0,22700.0,23054.0,15814.0,16060.0,19738.0,20928.0,13750.0,14579.0
arpa_cdctc,2042,Paid Home-Based,906963.0,13913.0,16180.0,9692.0,11271.0,11664.0,13360.0,8125.0,9307.0
arpa_cdctc,2043,all_paid_formal,3505216.0,14193.0,16497.0,9669.0,11238.0,11435.0,13978.0,7790.0,9522.0
arpa_cdctc,2043,Low-Priced Center-Based,1534826.0,12111.0,11308.0,8250.0,7703.0,8450.0,8738.0,5756.0,5952.0
arpa_cdctc,2043,High-Priced Center-Based,1073465.0,23152.0,23674.0,15772.0,16128.0,20283.0,21532.0,13817.0,14668.0
arpa_cdctc,2043,Paid Home-Based,896925.0,14298.0,16788.0,9740.0,11437.0,12066.0,13903.0,8220.0,9471.0
arpa_cdctc,2044,all_paid_formal,3452157.0,14520.0,16934.0,9673.0,11281.0,11801.0,14403.0,7861.0,9595.0
arpa_cdctc,2044,Low-Priced Center-Based,1493210.0,12485.0,11650.0,8317.0,7761.0,8708.0,9063.0,5801.0,6038.0
arpa_cdctc,2044,High-Priced Center-Based,1077055.0,23866.0,24202.0,15899.0,16122.0,20864.0,22074.0,13899.0,14705.0
arpa_cdctc,2044,Paid Home-Based,881892.0,14440.0,17005.0,9620.0,11328.0,12158.0,14076.0,8099.0,9377.0
arpa_cdctc,2045,all_paid_formal,3470724.0,14836.0,17365.0,9665.0,11312.0,11832.0,14785.0,7707.0,9631.0
arpa_cdctc,2045,Low-Priced Center-Based,1525157.0,12866.0,11956.0,8381.0,7788.0,8909.0,9294.0,5803.0,6054.0
arpa_cdctc,2045,High-Priced Center-Based,1061919.0,24501.0,24906.0,15960.0,16224.0,21589.0,22787.0,14064.0,14843.0
arpa_cdctc,2045,Paid Home-Based,883648.0,14836.0,17640.0,9665.0,11491.0,12509.0,14647.0,8148.0,9541.0
arpa_cdctc,2046,all_paid_formal,3410153.0,15210.0,17710.0,9688.0,11281.0,12280.0,15119.0,7822.0,9631.0
arpa_cdctc,2046,Low-Priced Center-Based,1474449.0,12438.0,12165.0,7923.0,7749.0,9068.0,9503.0,5776.0,6053.0
arpa_cdctc,2046,High-Priced Center-Based,1066870.0,24550.0,25161.0,15638.0,16027.0,21894.0,22985.0,13946.0,14641.0
arpa_cdctc,2046,Paid Home-Based,868834.0,15241.0,17970.0,9708.0,11447.0,12867.0,14991.0,8196.0,9549.0
arpa_cdctc,2047,all_paid_formal,3332033.0,15653.0,18285.0,9750.0,11389.0,12798.0,15670.0,7972.0,9761.0
arpa_cdctc,2047,Low-Priced Center-Based,1456855.0,13289.0,12611.0,8277.0,7855.0,9575.0,9892.0,5964.0,6162.0
arpa_cdctc,2047,High-Priced Center-Based,1022338.0,26163.0,26447.0,16296.0,16473.0,23070.0,24282.0,14370.0,15125.0
arpa_cdctc,2047,Paid Home-Based,852840.0,15602.0,18192.0,9718.0,11332.0,13181.0,15217.0,8210.0,9478.0
arpa_cdctc,2048,all_paid_formal,3315471.0,16132.0,18798.0,9825.0,11450.0,13206.0,16146.0,8043.0,9834.0
arpa_cdctc,2048,Low-Priced Center-Based,1441973.0,14058.0,13045.0,8563.0,7946.0,9924.0,10268.0,6044.0,6254.0
arpa_cdctc,2048,High-Priced Center-Based,1039654.0,26563.0,26725.0,16179.0,16277.0,23251.0,24550.0,14161.0,14953.0
arpa_cdctc,2048,Paid Home-Based,833845.0,16076.0,18864.0,9792.0,11490.0,13650.0,15834.0,8314.0,9644.0
arpa_cdctc,2049,all_paid_formal,3279694.0,16570.0,19233.0,9868.0,11454.0,13579.0,16547.0,8087.0,9855.0
arpa_cdctc,2049,Low-Priced Center-Based,1429853.0,14049.0,13345.0,8367.0,7948.0,10217.0,10568.0,6085.0,6294.0
arpa_cdctc,2049,High-Priced Center-Based,1014064.0,27551.0,27615.0,16409.0,16447.0,24065.0,25406.0,14333.0,15131.0
arpa_cdctc,2049,Paid Home-Based,835777.0,16455.0,19134.0,9800.0,11396.0,13938.0,16026.0,8301.0,9545.0
arpa_cdctc,2050,all_paid_formal,3216150.0,16954.0,19551.0,9873.0,11386.0,13815.0,16848.0,8045.0,9812.0
arpa_cdctc,2050,Low-Priced Center-Based,1390156.0,14903.0,13834.0,8679.0,8056.0,10520.0,11002.0,6126.0,6407.0
arpa_cdctc,2050,High-Priced Center-Based,989135.0,27024.0,27612.0,15738.0,16081.0,23946.0,25413.0,13945.0,14800.0
arpa_cdctc,2050,Paid Home-Based,836859.0,16634.0,19519.0,9687.0,11367.0,14128.0,16437.0,8228.0,9572.0
arpa_cdctc,2051,all_paid_formal,3174396.0,17410.0,20156.0,9914.0,11478.0,14357.0,17439.0,8176.0,9931.0
arpa_cdctc,2051,Low-Priced Center-Based,1387044.0,14399.0,14092.0,8200.0,8025.0,10831.0,11236.0,6168.0,6398.0
