"year","epop_m_16plus","epop_m_16_17","epop_m_18_19","epop_m_20_24","epop_m_25_29","epop_m_30_34","epop_m_35_39","epop_m_40_44","epop_m_45_49","epop_m_50_54","epop_m_55_59","epop_m_60_64","epop_m_65plus","epop_f_16plus","epop_f_16_17","epop_f_18_19","epop_f_20_24","epop_f_25_29","epop_f_30_34","epop_f_35_39","epop_f_40_44","epop_f_45_49","epop_f_50_54","epop_f_55_59","epop_f_60_64","epop_f_65plus"
2042,63.7795557514869,16.9885273209005,50.8770773625587,65.5431828200196,81.8671527594694,86.7330253026866,87.7854034937593,87.1665328616874,86.7583563260637,85.3673509583234,79.2445960989808,,,54.6475589867996,23.5711804252974,45.8258731747964,63.1092372472156,75.3453220405714,75.7807152040409,76.055150888455,77.5046395107452,78.4062693211269,77.5581600122294,70.6789350113621,,
2043,63.7786011677806,16.9901822356461,50.9152631735086,65.4784105188125,81.8975076548196,86.7666390319036,87.8317858659642,87.1888060311425,86.8039308381717,85.4109077045832,79.3451811724451,,,54.6934861295556,23.5728897204697,45.8496112285485,63.0486619224018,75.3947855705504,75.883126749545,76.1561933618625,77.6030421748655,78.5155375914797,77.6685107260243,70.8185477224957,,
2044,63.7786011677806,16.9934920651373,50.9432661015386,65.4473927971077,81.9259653692104,86.8002527611207,87.881067136432,87.2256051806769,86.8572627140428,85.448656884675,79.4525363950848,,,54.7403700877857,23.5754536632281,45.8645574105405,63.0300233609206,75.4347368832258,75.982666943306,76.2601227630816,77.7014448389858,78.63931049949,77.7720855187968,70.9668862280751,,
2045,63.7786011677806,16.9934920651373,50.9806033389118,65.4610770860951,81.948731540723,86.8338664903378,87.9313147063206,87.2720883169309,86.8970192033284,85.4951174140187,79.5666617669,,,54.7872540460158,23.5771629584003,45.8918122129966,63.0561173469943,75.4708833089797,76.0735930818377,76.3659767828419,77.8133537511226,78.7553476007496,77.8834042213092,71.1181333318031,,
2046,63.7776465840743,16.9934920651373,51.0179405762851,65.5030422389898,81.9639089883981,86.8674802195549,87.9854274738931,87.3282554399045,86.9241699764992,85.559968569561,79.6769184820435,,,54.83509481972,23.5788722535725,45.9173086411007,63.1111011033637,75.5070297347336,76.1559051651401,76.4727931118726,77.923333199257,78.8617149435709,78.0208586191942,71.2684109028149,,
2047,63.7747828329555,16.9959744372557,51.0561263872351,65.5468319637496,81.9752920741544,86.9126186559321,88.0511358345167,87.3960433469417,86.9619871248441,85.6344990020499,79.7755692271719,,,54.8829355934242,23.5840001390893,45.9436842563808,63.1698125720295,75.5498347126001,76.2334316622039,76.5863456057973,78.0381363073974,78.9874218032689,78.1699288816891,71.396389221354,,
2048,63.7690553307178,17.0009391814924,51.099403639645,65.5851479729143,81.9999554266265,86.9702421917328,88.1332712852962,87.4773888353862,87.0182280121263,85.7303238438213,79.8626140022852,,,54.9279059207061,23.5925466149505,45.9753349947169,63.2201366880287,75.614517790265,76.3080868075247,76.7075965738862,78.1683751275566,79.1266663247804,78.3344869636641,71.500129221988,,
2049,63.7576003262424,17.0092137552204,51.1494694806683,65.632586841404,82.0473849506111,87.0365092579036,88.2250697302852,87.5684183105503,87.0967713202272,85.8464751671806,79.9496587773985,,,54.9690489860917,23.6053663287424,46.014019230461,63.2779162286203,75.700127745998,76.3827419528454,76.8355837068691,78.3130849277335,79.2668778221358,78.524212752294,71.608716886203,,
2050,63.7394632358231,17.019143243694,51.2037781895749,65.6845871395561,82.1118891032303,87.1075782853911,88.3207333729578,87.6691317724341,87.1879203444432,85.9529472135933,80.0647513133817,,,55.0034943431587,23.6207499852926,46.0553410277331,63.3375596253601,75.7923962538435,76.4621826844047,76.9606839120403,78.466477315921,79.4215939571486,78.708130608619,71.7473600646203,,
2051,63.7146440594598,17.0299001895403,51.2597840456348,65.7338505799108,82.1858791606464,87.1786473128786,88.4154307162095,87.7756556263495,87.2926447552445,86.0478041276701,80.2020886252271,,,55.030285176433,23.636988289429,46.1001795737093,63.3944072378778,75.8875184268801,76.5464090022024,77.0809725708587,78.622763900112,79.5753431163176,78.874624668029,71.9325408134155,,
